	molecule_chembl_id	units	IC50	canonical_smiles	pIC50	mols
2093	CHEMBL3217158	nM	8.2	Cc1ccc(-c2c(CC(=O)Nc3cccc(S(C)(=O)=O)c3)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	7.086186147616283	<rdkit.Chem.rdchem.Mol object at 0x7f870f966e30>
2094	CHEMBL3215828	nM	11.0	COC(=O)C1CCN(C(=O)Cc2c(C)nc(CC(C)C)c(CN)c2-c2ccc(C)cc2)C1.Cl.Cl	6.958607314841775	<rdkit.Chem.rdchem.Mol object at 0x7f870f966ea0>
2095	CHEMBL3215611	nM	53.0	Cc1ccc(-c2c(CC(=O)N3CCC(S(C)(=O)=O)C3)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	6.275724130399211	<rdkit.Chem.rdchem.Mol object at 0x7f870f966f10>
2096	CHEMBL3216064	nM	1.1	COC(=O)[C@@H]1CCCN1C(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1.Cl.Cl	7.958607314841775	<rdkit.Chem.rdchem.Mol object at 0x7f870f966f80>
2097	CHEMBL3216485	nM	2.9	Cc1ccc(-c2c(CC(=O)N3CCC[C@H]3C(=O)O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	7.537602002101044	<rdkit.Chem.rdchem.Mol object at 0x7f870f966ff0>
2098	CHEMBL3216725	nM	1.1	Cc1ccc(-c2c(CC(=O)N3CCC[C@H]3C(N)=O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	7.958607314841775	<rdkit.Chem.rdchem.Mol object at 0x7f870f967060>
2099	CHEMBL3216941	nM	23.0	COC(=O)[C@H]1CCCN1C(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1.Cl.Cl	6.638272163982407	<rdkit.Chem.rdchem.Mol object at 0x7f870f9670d0>
2100	CHEMBL3216726	nM	7.8	Cc1ccc(-c2c(CC(=O)N3CCC[C@@H]3C(=O)O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	7.107905397309519	<rdkit.Chem.rdchem.Mol object at 0x7f870f967140>
2101	CHEMBL3217159	nM	12.0	Cc1ccc(-c2c(CC(=O)N3CCC[C@@H]3C(N)=O)c(C)nc(CC(C)C)c2CN)cc1.Cl.Cl	6.920818753952375	<rdkit.Chem.rdchem.Mol object at 0x7f870f9671b0>
2102	CHEMBL3216727	nM	69.0	CNC(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1.Cl.Cl	6.161150909262744	<rdkit.Chem.rdchem.Mol object at 0x7f870f967220>
2103	CHEMBL3216942	nM	17.0	COC(=O)CNC(=O)Cc1c(C)nc(CC(C)C)c(CN)c1-c1ccc(C)cc1.Cl.Cl	6.769551078621726	<rdkit.Chem.rdchem.Mol object at 0x7f870f967290>
