SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
C[C@H](c1n[n-]c(-c2ccc(Cl)cc2Cl)n1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218306",812,Done,3.21,-3.7908,"glide_grid_1X70",-5.7634,-1.0173,-0.385177,-0,-1.74804,-32.0815,-7.52854,0.397816,-0.277343,-58.3892,-39.61,2.87351
C[C@H](c1nnc(-c2ccc(Cl)cc2Cl)[nH]1)[C@H](N)C(=O)N1CCCC1,"CHEMBL218306",813,Done,3.56,-4.10478,"glide_grid_1X70",-6.26458,-1.63308,-0.194276,-0,-1.36618,-36.2606,-10.3891,0.568308,-0.26797,-64.6934,-46.6497,2.11445
C[C@H](c1nnc(-c2ccc(Cl)cc2Cl)[nH]1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218306",814,Done,3.37,-4.99124,"glide_grid_1X70",-7.50444,-1.07184,-0.318104,-0,-1.77932,-31.6112,-18.8046,0.395878,-0.329803,-78.4457,-50.4157,4.4978
CC[C@@H]1C(=O)NCCCN1C(=O)C[C@H]([NH3+])Cc1cc(F)c(F)cc1F,"CHEMBL218459",817,Done,5.47,-9.44597,"glide_grid_1X70",-9.45587,-1.13856,-1.1212,-0,-2.60659,-28.9562,-22.4524,0.417597,-0.191456,-90.5523,-51.4086,8.25469
CC[C@@H]1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,"CHEMBL218459",818,Done,5.25,-3.50727,"glide_grid_1X70",-5.93777,-0.955649,-0.673187,-0,-1.85331,-28.2294,-10.1168,0.599569,-0.126188,-47.5108,-38.3463,10.9682
C[C@H](c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL218882",819,Done,4.52,-4.35818,"glide_grid_1X70",-4.58038,-0.353511,-0.354435,-0,-0.772381,-26.3634,-13.9872,0.532082,-0.215884,-49.2573,-40.3506,7.6988
C[C@H](c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218882",820,Done,4.62,-7.47287,"glide_grid_1X70",-8.16157,-1.40478,-0.446628,-0,-1.59147,-34.3888,-20.2907,0.370889,-0.326541,-88.4932,-54.6795,9.13277
C[C@H](c1nc(-c2ccc([N-]S(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL218911",821,Done,4.24,-4.07247,"glide_grid_1X70",-4.66587,-0.569601,-0.494755,-0,-0.733203,-29.8771,-11.9245,0.633844,-0.21962,-49.6672,-41.8016,11.2651
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1,"CHEMBL218911",822,Done,4.04,-3.97516,"glide_grid_1X70",-4.65036,-1.08339,-0.217897,-0,-1.07028,-27.2026,-9.47355,0.630929,-0.128557,-46.4737,-36.6762,6.44916
C[C@H](c1nc(-c2ccc([N-]S(C)(=O)=O)cc2)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218911",823,Done,4.2,-6.68029,"glide_grid_1X70",-7.74019,-1.27746,-0.361449,-0,-1.7108,-36.0392,-16.6732,0.44165,-0.529197,-85.8375,-52.7124,11.8891
C[C@H](c1nc(-c2ccc(NS(C)(=O)=O)cc2)no1)[C@H]([NH3+])C(=O)N1CCCC1,"CHEMBL218911",824,Done,4.09,-7.0377,"glide_grid_1X70",-8.1795,-1.03997,-0.4,-0,-1.66289,-36.7839,-21.143,0.439624,-0.505624,-89.6001,-57.9269,13.9977
