SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N#Cc1ccc(C[NH+](Cc2ccc(C#N)cc2)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,"CHEMBL228021",892,"NO POSES STORED FOR LIGAND",6.35,,,,,,,,,,,,,,
N#Cc1ccc(CN(C(=O)c2ccc(C#N)cc2)[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)cc1,"CHEMBL228032",894,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
N[C@H]1CN(c2cccc(C(F)(F)F)n2)CC[C@@H]1c1cc(F)c(F)cc1F,"CHEMBL230342",909,"NO POSES STORED FOR LIGAND",2.24,,,,,,,,,,,,,,
O=C([C@@H]1Cc2ccc(-c3cccc(-c4nnn[n-]4)c3)cc2CN1)N1CC[C@H](F)C1,"CHEMBL230938",936,"NO GOOD POSES FOUND",0.6,,,,,,,,,,,,,,
N[C@H]1CN(c2ccc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F,"CHEMBL231092",956,"NO POSES STORED FOR LIGAND",1.76,,,,,,,,,,,,,,
CN(C)C(=O)[C@H](c1ccc(-c2ccc(F)cc2)cc1)[C@@H](N)C(=O)N1CC[C@H](F)C1,"CHEMBL231151",959,"NO POSES STORED FOR LIGAND",2.92,,,,,,,,,,,,,,
N[C@H]1CN(c2cnc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F,"CHEMBL231196",966,"NO POSES STORED FOR LIGAND",1.86,,,,,,,,,,,,,,
N[C@H]1CN(c2ccc3nc(=O)ccn3n2)CC[C@@H]1c1cc(F)c(F)cc1F,"CHEMBL231396",970,"NO POSES STORED FOR LIGAND",1.9,,,,,,,,,,,,,,
Cc1nc(C(=O)[C@@H]2CCCN2C(=O)CNC(C)(C)C(=O)[O-])no1,"CHEMBL231698",985,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
CN(C)C(=O)[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL232103",988,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
Cc1nnc(C(=O)[C@@H]2CSCN2C(=O)CNC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)o1,"CHEMBL232111",990,"NO GOOD POSES FOUND",0.28,,,,,,,,,,,,,,
CC(C)(Cc1ccc(F)cc1)NCC(=O)N1CCC[C@H]1C(=O)c1ncon1,"CHEMBL232153",992,"NO GOOD POSES FOUND",0.37,,,,,,,,,,,,,,
CN(C)C(=O)CC[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL232311",999,"NO GOOD POSES FOUND",0.15,,,,,,,,,,,,,,
Cc1cc(C)c(-c2nnc(C(=O)[C@@H]3CCCN3C(=O)CNC(C)(C)C)o2)c(C)c1,"CHEMBL232570",1005,"NO GOOD POSES FOUND",0.25,,,,,,,,,,,,,,
CC(C)(C)NCC(=O)N1CCC[C@H]1C(=O)c1nnc(C2(C)CCCCC2)o1,"CHEMBL232571",1007,"NO GOOD POSES FOUND",0.34,,,,,,,,,,,,,,
CC(C)(C)NCC(=O)N1CCC[C@H]1C(=O)c1noc(C2(C)CCCCC2)n1,"CHEMBL232586",1011,"NO GOOD POSES FOUND",0.34,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2CCCCCCC2)CN1,"CHEMBL232716",1018,"NO GOOD POSES FOUND",0.36,,,,,,,,,,,,,,
Cc1nnc(C(=O)[C@@H]2CCCN2C(=O)CNC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)o1,"CHEMBL232725",1020,"NO GOOD POSES FOUND",0.2,,,,,,,,,,,,,,
C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C,"CHEMBL232914",1026,"NO GOOD POSES FOUND",0.07,,,,,,,,,,,,,,
C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCC1,"CHEMBL232919",1028,"NO GOOD POSES FOUND",0.11,,,,,,,,,,,,,,
C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1CCCCC1,"CHEMBL232920",1030,"NO GOOD POSES FOUND",0.14,,,,,,,,,,,,,,
C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N1Cc2ccccc2C1,"CHEMBL233127",1034,"NO GOOD POSES FOUND",0.1,,,,,,,,,,,,,,
Cc1nnc(C(=O)[C@@H]2C[C@H](F)CN2C(=O)CNC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)o1,"CHEMBL233136",1036,"NO GOOD POSES FOUND",0.23,,,,,,,,,,,,,,
Cc1nnc(C(=O)[C@@H]2CC(F)(F)CN2C(=O)CNC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)o1,"CHEMBL233337",1038,"NO GOOD POSES FOUND",0.21,,,,,,,,,,,,,,
N[C@H]1C[C@@H]([N@H+]2Cc3cncnc3C2)CC[C@@H]1c1cc(F)c(F)cc1F,"CHEMBL233564",1049,"NO POSES STORED FOR LIGAND",1.76,,,,,,,,,,,,,,
Cc1nc(C(=O)[C@@H]2CCCN2C(=O)CNC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)no1,"CHEMBL233996",1059,"NO GOOD POSES FOUND",0.22,,,,,,,,,,,,,,
COc1cc2c(cc1OC)[C@@H]1C[C@@H]([NH3+])[C@@H](c3ccccc3)CN1CC2,"CHEMBL234046",1062,"NO POSES STORED FOR LIGAND",2.23,,,,,,,,,,,,,,
COc1cc2c(cc1OC)[C@@H]1C[C@@H](N)[C@@H](c3ccccc3)CN1CC2,"CHEMBL234046",1063,"NO POSES STORED FOR LIGAND",2.03,,,,,,,,,,,,,,
COc1cc2c(cc1OC)[C@@H]1C[C@@H](N)[C@@H](c3ccccc3)C[N@H+]1CC2,"CHEMBL234046",1064,"NO POSES STORED FOR LIGAND",2.24,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](CC(=O)[O-])CN1,"CHEMBL234158",1071,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
CCN(C)C(=O)[C@@H]1CN[C@H](C(=O)N2CCC[C@H]2C#N)C1,"CHEMBL234163",1073,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
COc1cc2c(cc1OC)[C@@H]1C[C@@H]([NH3+])[C@@H](c3ccc(C)c(C)c3)CN1CC2,"CHEMBL234238",1076,"NO POSES STORED FOR LIGAND",1.63,,,,,,,,,,,,,,
COc1cc2c(cc1OC)[C@@H]1C[C@@H](N)[C@@H](c3ccc(C)c(C)c3)CN1CC2,"CHEMBL234238",1077,"NO POSES STORED FOR LIGAND",1.68,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)[C@@H]1C[C@H](C(=O)N2CCC2)CN1,"CHEMBL234373",1081,"NO GOOD POSES FOUND",0.13,,,,,,,,,,,,,,
COc1cccc([C@H]2CN3CCc4cc(OC)c(OC)cc4[C@@H]3C[C@H]2[NH3+])c1,"CHEMBL234430",1089,"NO POSES STORED FOR LIGAND",2.03,,,,,,,,,,,,,,
COc1cccc([C@H]2CN3CCc4cc(OC)c(OC)cc4[C@@H]3C[C@H]2N)c1,"CHEMBL234430",1090,"NO POSES STORED FOR LIGAND",2.54,,,,,,,,,,,,,,
COc1cccc([C@H]2C[N@H+]3CCc4cc(OC)c(OC)cc4[C@@H]3C[C@H]2N)c1,"CHEMBL234430",1091,"NO POSES STORED FOR LIGAND",2.79,,,,,,,,,,,,,,
COc1cc2c(cc1OC)[C@@H]1C[C@@H]([NH3+])[C@@H](c3cccc(C)c3)CN1CC2,"CHEMBL234431",1092,"NO POSES STORED FOR LIGAND",2.1,,,,,,,,,,,,,,
COc1cc2c(cc1OC)[C@@H]1C[C@@H](N)[C@@H](c3cccc(C)c3)CN1CC2,"CHEMBL234431",1093,"NO POSES STORED FOR LIGAND",1.77,,,,,,,,,,,,,,
CCCC[C@@H]1CN(c2ccccc2)CC[C@H]1N,"CHEMBL234610",1095,"NO POSES STORED FOR LIGAND",3.02,,,,,,,,,,,,,,
CCCC[C@H]1CN(c2ccc(Oc3ccccc3)cc2)CC[C@H]1[NH3+],"CHEMBL234611",1096,"NO POSES STORED FOR LIGAND",6.34,,,,,,,,,,,,,,
Cn1c(=O)[nH]c(=O)c2c1nc(N1CCNCC1)n2Cc1ccccc1,"CHEMBL235133",1113,"NO POSES STORED FOR LIGAND",2.59,,,,,,,,,,,,,,
Cn1c(=O)c2c(nc(N3CCNCC3)n2Cc2ccccc2)n(C)c1=O,"CHEMBL235134",1115,"NO GOOD POSES FOUND",0.07,,,,,,,,,,,,,,
CN(C)C(=O)[C@@H]([C@H]1CC[C@@H]([C@@H]2CCc3ncnn3C2)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,"CHEMBL235198",1116,"NO POSES STORED FOR LIGAND",3.74,,,,,,,,,,,,,,
CN(C)C(=O)[C@@H]([C@H]1CC[C@H]([C@@H]2CCc3ncnn3C2)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,"CHEMBL235199",1118,"NO POSES STORED FOR LIGAND",3.19,,,,,,,,,,,,,,
CC(C)=CCn1c(N2CCNCC2)nc2c1c(=O)n(C)c(=O)n2C,"CHEMBL235352",1125,"NO GOOD POSES FOUND",0.08,,,,,,,,,,,,,,
CC#CCn1c(N2CCNCC2)nc2c1c(=O)n(C)c(=O)n2C,"CHEMBL235792",1127,"NO GOOD POSES FOUND",0.07,,,,,,,,,,,,,,
CN(C)C(=O)[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,"CHEMBL237119",1159,"NO POSES STORED FOR LIGAND",3.06,,,,,,,,,,,,,,
CN(C)C(=O)[C@@H](c1ccc(-c2ccc3ncnn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,"CHEMBL237337",1172,"NO POSES STORED FOR LIGAND",2.85,,,,,,,,,,,,,,
CN(C)C(=O)[C@@H]([C@H]1CC[C@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CCC(F)(F)C1,"CHEMBL237997",1211,"NO POSES STORED FOR LIGAND",2.85,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCN(c3ccc(Cl)cc3)CC2)CN1)N1CCSC1,"CHEMBL238507",1217,"NO POSES STORED FOR LIGAND",6.92,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3ccc(Cl)cc3)CC2)CN1)N1CCSC1,"CHEMBL238507",1219,"NO GOOD POSES FOUND",0.16,,,,,,,,,,,,,,
N#Cc1ccc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)cc1C#N,"CHEMBL238515",1222,"NO GOOD POSES FOUND",0.17,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCC(c3ccc([N+](=O)[O-])cc3)CC2)CN1)N1CCSC1,"CHEMBL238516",1223,"NO POSES STORED FOR LIGAND",5.8,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCC(c3ccc([N+](=O)[O-])cc3)CC2)CN1)N1CCSC1,"CHEMBL238516",1225,"NO GOOD POSES FOUND",0.12,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3cc[nH+]cc3)CC2)CN1)N1CCSC1,"CHEMBL239564",1228,"NO POSES STORED FOR LIGAND",6.58,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3ccc(Cl)cn3)CC2)CN1)N1CCSC1,"CHEMBL239565",1231,"NO GOOD POSES FOUND",0.15,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H]([NH+]2CCN(c3ccccc3Cl)CC2)CN1)N1CCSC1,"CHEMBL239983",1232,"NO POSES STORED FOR LIGAND",7.55,,,,,,,,,,,,,,
O=C([C@@H]1C[C@H](N2CCN(c3ccccc3Cl)CC2)CN1)N1CCSC1,"CHEMBL239983",1234,"NO GOOD POSES FOUND",0.15,,,,,,,,,,,,,,
