,molecule_chembl_id,smiles,IC50,pIC50,molLogP,tpsa,MolWT,NumRotatableBonds,NumHDonors,NumHAcceptors,ro5_fulfilled
785,CHEMBL389538,N[C@H]1CN(c2cnc3ccccc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,12.0,6.920818753952375,4.0016000000000025,92.34,472.3889999999997,3,2,6,True
786,CHEMBL231092,N[C@H]1CN(c2ccc3nccnc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,7.0,7.154901959985743,3.396600000000001,105.23,473.3769999999998,3,2,7,True
787,CHEMBL231091,N[C@H]1CN(c2nccc3ccccc23)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,3700.0,4.431798275933005,4.606600000000003,79.45,471.4009999999997,3,2,5,True
788,CHEMBL389537,N[C@H]1CN(c2ccc3ccccc3n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,54.0,6.267606240177032,4.606600000000003,79.45,471.4009999999997,3,2,5,True
789,CHEMBL231090,N[C@H]1CN(c2cccnn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,63.0,6.200659450546418,2.8484000000000007,92.34,422.3289999999997,3,2,6,True
790,CHEMBL230985,N[C@H]1CN(c2cnccn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,82.0,6.086186147616283,2.8484000000000007,92.34,422.3289999999997,3,2,6,True
791,CHEMBL427259,N[C@H]1CN(c2ncccn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,90.0,6.045757490560675,2.8484000000000007,92.34,422.3289999999997,3,2,6,True
792,CHEMBL230984,N[C@H]1CN(c2ccncn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,37.0,6.431798275933005,2.8484000000000007,92.34,422.3289999999997,3,2,6,True
793,CHEMBL230883,N#Cc1ccc(N2CC[C@H](c3cc(F)c(F)cc3F)[C@@H](N)C2)nc1.O=C(O)C(F)(F)F,14.0,6.853871964321762,3.3250800000000007,103.24,446.3509999999998,3,2,6,True
794,CHEMBL230449,N[C@H]1CN(c2ncccc2C(F)(F)F)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,650.0,5.187086643357144,4.472200000000002,79.45,489.33799999999974,3,2,5,True
795,CHEMBL389602,N[C@H]1CN(c2cc(C(F)(F)F)ccn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,463.0,5.334419008982047,4.472200000000003,79.45,489.3379999999998,3,2,5,True
796,CHEMBL274740,N[C@H]1CN(c2ccc(C(F)(F)F)cn2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,67.0,6.173925197299173,4.472200000000003,79.45,489.33799999999974,3,2,5,True
797,CHEMBL230342,N[C@H]1CN(c2cccc(C(F)(F)F)n2)CC[C@@H]1c1cc(F)c(F)cc1F.O=C(O)C(F)(F)F,111.0,5.954677021213342,4.472200000000003,79.45,489.33799999999974,3,2,5,True
