SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CS(=O)(=O)N(CCCC(F)(F)F)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683097",2548,Done,8.55,-8.12309,"glide_grid_1X70",-8.12559,-1.22837,-0.482327,-0,-2.44549,-33.8532,-17.065,0.498054,-0.215052,-84.5538,-50.9181,7.6411
CC(=O)N(C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683098",2549,Done,5.38,-8.38653,"glide_grid_1X70",-8.38903,-0.87263,-0.847585,-0,-2.78223,-30.178,-18.7545,0.535508,-0.100021,-75.169,-48.9325,17.5635
CC(=O)N(C)[C@H]1CC[C@@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683099",2550,Done,6.46,-7.16434,"glide_grid_1X70",-7.16684,-0.955013,-0.55565,-0,-2.74444,-27.3925,-13.1379,0.535508,-0.106948,-60.2597,-40.5303,16.816
CC(C)C(=O)N(C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683100",2551,Done,4.01,-7.57211,"glide_grid_1X70",-7.57461,-1.00489,-0.560074,-0,-2.47015,-30.2536,-16.5465,0.574863,-0.1197,-71.5285,-46.8001,13.2531
CN(C(=O)C(C)(C)C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683101",2552,Done,4.37,-8.04186,"glide_grid_1X70",-8.04436,-0.872174,-0.875057,-0,-2.43855,-31.0928,-18.1843,0.534975,-0.111274,-75.5646,-49.277,14.3426
CN(C(=O)CC[NH3+])[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683102",2553,Done,8.72,-9.01336,"glide_grid_1X70",-9.01336,-1.20242,-0.522766,-0,-2.80061,-33.866,-22.062,0.682702,-0.167662,-93.5071,-55.9281,11.7983
CN(C(=O)CCC(=O)[O-])[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683103",2554,Done,7.22,-8.08145,"glide_grid_1X70",-8.08145,-1.12904,-0.992216,-0,-2.46678,-32.321,-16.1517,0.695645,-0.150247,-84.0612,-48.4727,7.24139
CN(C(=O)c1cccnc1)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683104",2555,Done,4.95,-8.30424,"glide_grid_1X70",-8.30664,-1.05942,-0.840801,-0,-2.75561,-34.916,-15.8455,0.57921,-0.107396,-83.0827,-50.7615,10.2507
CN(C(=O)c1csnn1)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683105",2556,Done,5.3,-8.05758,"glide_grid_1X70",-8.05998,-1.07749,-0.516144,-0,-2.6088,-37.8772,-15.9539,0.56027,-0.130874,-85.8733,-53.8311,10.2087
CN(C(=O)c1ccno1)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683106",2557,Done,5.24,-8.43221,"glide_grid_1X70",-8.43461,-1.06749,-0.517401,-0,-2.7249,-32.6134,-19.3272,0.608029,-0.203094,-83.0297,-51.9406,11.8182
CN(C(=O)c1c[nH]c2ccccc12)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683107",2558,Done,5.62,-7.42054,"glide_grid_1X70",-7.42294,-0.990227,-0.483265,-0,-2.11194,-37.9689,-15.3249,0.48675,-0.12707,-83.5742,-53.2938,6.98731
Cc1noc(C)c1C(=O)N(C)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683108",2559,Done,4.8,-7.84974,"glide_grid_1X70",-7.85214,-0.918812,-0.518808,-0,-2.23246,-35.7631,-18.421,0.532407,-0.163164,-83.2816,-54.1841,13.0687
Cn1ccc(C(=O)N(C)[C@H]2CC[C@H]([C@H]([NH3+])Cc3cc(F)ccc3F)CC2)n1,"CHEMBL1683109",2560,Done,5.37,-7.95759,"glide_grid_1X70",-7.95999,-1.16981,-0.513528,-0,-2.61712,-36.7337,-15.2384,0.570986,-0.108076,-84.4294,-51.9721,6.1293
CCN(C(C)=O)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683110",2561,Done,4.85,-8.35748,"glide_grid_1X70",-8.35998,-0.974513,-0.808975,-0,-2.77161,-27.1909,-18.7923,0.49553,-0.122028,-77.0134,-45.9832,8.16431
CC(=O)N(Cc1ccccc1)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683111",2562,Done,6.1,-8.35444,"glide_grid_1X70",-8.35694,-1.18539,-0.863597,-0,-2.56147,-28.9785,-17.9913,0.54475,-0.14361,-74.4806,-46.9699,21.1713
CC(=O)N(CCCC(F)(F)F)[C@H]1CC[C@H]([C@H]([NH3+])Cc2cc(F)ccc2F)CC1,"CHEMBL1683112",2563,Done,9.94,-7.31874,"glide_grid_1X70",-7.32124,-0.880233,-0.558269,-0,-2.27014,-32.8754,-16.2949,0.580646,-0.105246,-79.477,-49.1703,5.47088
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H]([N@H+]2CCC(F)(F)C2)CC1,"CHEMBL1683113",2564,Done,2.87,-6.5556,"glide_grid_1X70",-6.6613,-1.13366,-0.247312,-0,-2.16825,-21.5377,-17.3252,0.633739,-0.0701534,-60.8285,-38.8629,6.74609
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCC(F)(F)C2)CC1,"CHEMBL1683113",2565,Done,2.56,-5.72168,"glide_grid_1X70",-6.81228,-1.15305,-0.540601,-0,-2.16106,-21.5675,-14.8341,0.445919,-0.1,-49.1734,-36.4016,19.8157
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H]([N@@H+]2CCC(F)(F)C2)CC1,"CHEMBL1683114",2566,Done,2.65,-9.10847,"glide_grid_1X70",-9.21417,-1.30039,-0.517437,-0,-2.88131,-30.9768,-21.746,0.443617,-0.147908,-92.0969,-52.7228,8.99725
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCC(F)(F)C2)CC1,"CHEMBL1683114",2567,Done,4.59,-6.54807,"glide_grid_1X70",-7.63867,-0.984919,-0.507487,-0,-2.48922,-28.5417,-16.7604,0.445919,-0.161812,-73.9494,-45.3021,5.0018
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1,"CHEMBL1683115",2568,Done,4.6,-8.3804,"glide_grid_1X70",-8.4309,-1.13825,-0.54544,-0,-2.72549,-35.598,-16.2818,0.300455,-0.1,-88.1978,-51.8798,3.25137
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H]([N@@H+]2CCn3c(nnc3C(F)(F)F)C2)CC1,"CHEMBL1683115",2569,Done,4.02,-6.94687,"glide_grid_1X70",-8.43087,-1.00991,-0.552944,-0,-2.34467,-34.1755,-20.0718,0.299184,-0.10298,-91.2121,-54.2473,5.05096
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@@H]([NH+]2CCCCC2)CC1,"CHEMBL1683116",2570,Done,2.93,-7.13589,"glide_grid_1X70",-7.13589,-1.36287,-0.307362,-0,-1.99903,-25.3843,-18.7902,0.711619,-0.0905097,-63.3036,-44.1744,13.971
[NH3+][C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H]([NH+]2CCCCC2)CC1,"CHEMBL1683117",2571,Done,2.92,-8.56137,"glide_grid_1X70",-8.56137,-1.19752,-0.443912,-0,-2.62958,-31.2439,-20.842,0.498134,-0.1,-88.8265,-52.0859,7.15377
NC(=O)[C@@H]1CCC[N@@H+]([C@H]2CC[C@@H]([C@H]([NH3+])Cc3cc(F)ccc3F)CC2)C1,"CHEMBL1683118",2572,Done,5.6,-8.06918,"glide_grid_1X70",-8.06918,-0.973373,-0.602538,-0,-2.4322,-29.635,-19.171,0.399333,-0.103006,-85.3963,-48.806,3.96703
