SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@H]1C[C@@H]([N@H+]2Cc3cnc(C(F)(F)F)nc3C2)CC[C@@H]1c1cc(F)c(F)cc1F,"CHEMBL2425059",3392,"NO POSES STORED FOR LIGAND",2.4,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)C[NH2+][C@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,"CHEMBL3084811",3497,"NO POSES STORED FOR LIGAND",2.56,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CN[C@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,"CHEMBL3084811",3498,"NO POSES STORED FOR LIGAND",1.69,,,,,,,,,,,,,,
CC[C@@]12C[C@H]3C[C@@H](C1)C[C@](NCC(=O)N1CCC[C@H]1C#N)(C3)C2,"CHEMBL3084812",3500,"NO GOOD POSES FOUND",0.15,,,,,,,,,,,,,,
NC(=O)[C@@H]1CCCN1C(=O)C[NH2+][C@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,"CHEMBL3084813",3501,"NO POSES STORED FOR LIGAND",4.27,,,,,,,,,,,,,,
NC(=O)[C@@H]1CCCN1C(=O)CN[C@]12C[C@@H]3C[C@@H](C[C@@](O)(C3)C1)C2,"CHEMBL3084813",3502,"NO POSES STORED FOR LIGAND",2.78,,,,,,,,,,,,,,
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@]([NH2+]CC(=O)N1CCC[C@H]1C#N)(C3)C2,"CHEMBL3084814",3503,"NO POSES STORED FOR LIGAND",1.15,,,,,,,,,,,,,,
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@](NCC(=O)N1CCC[C@H]1C#N)(C3)C2,"CHEMBL3084814",3504,"NO GOOD POSES FOUND",0.07,,,,,,,,,,,,,,
N#Cc1ccc(N[C@H]2CC[C@H](NCC(=O)N3CCC[C@H]3C#N)CC2)nc1,"CHEMBL3084815",3506,"NO POSES STORED FOR LIGAND",4.55,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CN[C@H]1CC[C@H](Nc2ccc(C(F)(F)F)cn2)CC1,"CHEMBL3084816",3508,"NO POSES STORED FOR LIGAND",7.16,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CN[C@@]12C[C@H]3C[C@@H](C1)C[C@](OC(=O)NC1CCCCC1)(C3)C2,"CHEMBL3084817",3510,"NO POSES STORED FOR LIGAND",10.35,,,,,,,,,,,,,,
CC(C)N(C(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@]([NH2+]CC(=O)N4CCC[C@H]4C#N)(C3)C1)C2)C(C)C,"CHEMBL3084818",3511,"NO POSES STORED FOR LIGAND",5.6,,,,,,,,,,,,,,
CC(C)N(C(=O)O[C@@]12C[C@@H]3C[C@@H](C[C@](NCC(=O)N4CCC[C@H]4C#N)(C3)C1)C2)C(C)C,"CHEMBL3084818",3512,"NO GOOD POSES FOUND",0.4,,,,,,,,,,,,,,
N#C[C@@H]1CCCN1C(=O)CN[C@H]1CC[C@H](NC(=O)C2CCCCC2)CC1,"CHEMBL3084819",3514,"NO POSES STORED FOR LIGAND",10.94,,,,,,,,,,,,,,
